vehicle_type,edge_from,edge_to,observed_count,variance,n_member_gates,member_gate_indices,member_gates,n_time_periods
bus,6625037060,5028054894,0.0,11.0,11,297|299|300|301|302|303|304|305|306|307|308,cam_o1:gate_1|cam_o2:gate_1|cam_o2:gate_2|cam_o2:gate_3|cam_o2:gate_4|cam_o2:gate_5|cam_o2:gate_6|cam_o3:gate_1|cam_o3:gate_2|cam_o4:gate_1|cam_o4:gate_2,2
bus,6625037060,6073647793,1.0,2.0,2,298|309,cam_o1:gate_2|cam_o4:gate_3,2
bus,6658271344,1948626118,0.0,1.0,1,244,cam_l1:gate_4,2
bus,6695185573,9038173103,2.5,2.5,1,189,cam_f22:gate_2,2
bus,6735356641,2628861504,0.5,2.0,2,138|140,cam_f9:gate_4|cam_f9:gate_6,2
bus,6735356641,4336638117,0.0,3.0,3,136|137|139,cam_f9:gate_2|cam_f9:gate_3|cam_f9:gate_5,2
bus,6852411673,1936887997,1.0,1.0,1,33,cam_b2:gate_2,2
bus,7002649406,594810991,0.0,2.0,2,237|238,cam_j3:gate_3|cam_j3:gate_4,2
bus,7026425344,7026425345,1.5,1.5,1,179,cam_f19:gate_3,2
bus,7195542379,2168717858,0.0,1.0,1,190,cam_f23:gate_1,2
bus,7874298255,1936887991,1.0,2.0,2,70|71,cam_c10:gate_6|cam_c10:gate_7,2
bus,7874298255,4818810106,1.0,3.0,3,65|66|67,cam_c10:gate_1|cam_c10:gate_2|cam_c10:gate_3,2
bus,8086970950,8657455733,1.0,1.0,1,287,cam_m14:gate_1,2
bus,8212253860,8086970950,2.5,3.5,3,288|289|293,cam_m14:gate_2|cam_m14:gate_3|cam_m17:gate_2,2
bus,9004853901,247812556,4.0,5.0,2,133|146,cam_f10:gate_6|cam_f8:gate_1,2
bus,9038173107,2168717813,4.0,4.0,2,160|161,cam_f16:gate_1|cam_f16:gate_2,2
bus,9038173107,7195542382,1.5,2.5,2,162|163,cam_f16:gate_3|cam_f16:gate_4,2
bus,9060604387,1939558938,0.0,2.0,2,327|330,cam_p1:gate_1|cam_p1:gate_4,2
bus,9067078743,7874298255,0.0,2.0,2,68|69,cam_c10:gate_4|cam_c10:gate_5,2
bus,9067412347,1939558938,0.0,1.0,1,328,cam_p1:gate_2,2
bus,9133785911,7026425345,4.5,4.5,2,177|178,cam_f19:gate_1|cam_f19:gate_2,2
bus,9210167479,12099657777,1.0,1.0,1,290,cam_m15:gate_1,2
bus,9769366872,1936845009,0.0,2.0,2,8|10,cam_a2:gate_1|cam_a2:gate_3,2
